Timestamp_Seconds,Brightness,Frequency_Hz,Settle_Micros
0.00,821,324.68,1216
1.36,821,151.7,304
1.92,822,151.7,2136
2.58,844,1041.67,760
3.18,826,5208.33,456
3.55,830,159.24,2480
3.88,826,159.03,2440
4.54,821,171.47,2896
5.12,820,167.11,1984
5.70,821,171.7,2288
6.31,825,151.7,912
6.92,822,155.28,1376
7.51,820,155.28,1376
8.13,820,162.97,912
8.52,820,159.03,1528
9.19,820,159.24,1680
9.55,821,155.28,152
10.16,822,145.01,2288
10.51,823,176.3,916
11.09,822,148.28,152
11.69,820,360.23,1216
12.04,821,155.47,304
12.38,821,1562.5,1072
12.94,843,5208.33,944
13.48,824,151.7,1064
13.83,832,536.48,912
14.47,825,138.89,1224
15.01,821,270.56,152
15.56,820,159.03,608
16.16,821,159.03,608
16.75,824,167.56,152
17.37,820,159.03,1064
17.97,819,403.23,1976
18.65,820,159.03,304
19.49,821,159.03,304
20.14,819,159.03,152
20.86,821,151.7,304
21.46,821,145.01,1368
22.03,822,151.7,1528
22.78,821,148.28,768
23.39,821,148.28,912
23.92,821,151.7,2288
24.47,836,796.18,456
25.08,841,167.34,1672
25.68,829,171.7,2784
26.25,828,145.01,2472
26.80,825,167.11,1680
27.42,821,171.47,1984
28.13,820,159.03,1224
28.73,820,162.97,1224
29.42,823,155.28,1224
30.04,820,155.28,608
30.66,821,159.03,760
31.27,820,155.28,1064
31.81,819,151.7,608
32.32,820,159.03,304
32.89,821,2906.98,1680
33.43,822,145.01,2288
33.94,822,171.7,1072
34.45,822,151.88,1520
34.96,821,162.97,760
35.51,821,145.01,152
36.08,841,796.18,608
36.60,845,155.28,648
37.10,829,167.11,2288
37.60,827,141.88,1064
38.12,821,162.97,1072
38.65,821,155.28,768
39.18,821,163.19,912
39.72,825,403.23,304
40.23,825,159.03,1216
40.76,819,159.03,1376
41.30,820,159.03,152
41.81,820,155.47,912
42.32,820,159.03,1064
42.81,819,151.7,1224
43.30,823,151.7,760
43.79,821,163.19,152
44.27,821,340.6,1224
44.78,820,151.7,1376
45.28,821,162.97,1528
45.78,822,155.28,760
46.29,842,710.23,192
46.79,838,159.24,1216
47.28,832,282.81,1104
47.77,825,151.7,1984
48.32,822,171.7,2744
48.92,821,163.19,160
49.43,820,171.7,2584
49.94,822,2049.18,2736
50.44,822,155.47,2168
50.94,820,155.28,1832
51.45,820,151.7,1680
52.01,819,159.03,1824
52.51,819,155.28,1824
53.03,820,148.28,1824
53.52,822,167.11,1520
54.03,821,145.01,152
54.54,821,155.28,456
55.05,821,159.03,1064
55.55,820,151.88,1976
56.06,822,151.7,1368
56.56,842,359.2,1520
57.06,823,270.56,1832
57.54,829,260.96,912
58.09,824,167.34,1216
58.60,823,171.7,152
59.10,821,5208.33,912
59.61,820,162.97,1064
60.14,822,163.19,1368
60.68,823,155.28,1368
61.20,820,159.24,760
61.71,819,151.7,1072
62.32,821,323.83,1064
62.83,819,159.03,912
63.34,821,151.7,1224
63.85,821,141.88,912
64.35,821,155.28,304
64.84,821,151.7,912
65.36,821,155.28,152
65.86,821,2906.98,152
66.37,822,637.76,304
66.88,842,163.19,3088
67.37,823,171.7,152
67.86,828,159.24,2480
68.36,825,162.97,2136
68.87,820,171.7,2896
69.37,821,162.97,1832
69.87,822,176.3,1832
70.38,822,176.3,2432
70.89,819,155.28,1224
71.45,820,340.6,1368
71.96,820,159.03,1832
72.47,819,159.03,1824
72.99,820,155.28,456
73.49,821,167.34,1072
73.99,821,171.47,1072
74.49,821,155.28,1072
75.05,822,151.7,1680
75.54,821,159.24,1976
76.04,821,148.46,456
76.53,828,2906.98,344
77.02,843,181.16,608
77.50,829,534.19,152
78.00,827,162.97,304
78.51,821,159.24,1064
79.03,821,171.7,1072
79.54,820,249.5,912
80.06,821,171.47,768
80.57,826,162.97,912
81.09,820,159.03,912
81.58,819,155.28,760
82.09,819,340.6,1368
82.59,819,155.47,1368
83.10,819,159.03,608
83.60,821,155.28,1216
84.09,821,151.88,1528
84.58,821,163.19,152
85.08,821,159.03,456
85.58,821,155.28,152
86.06,823,5208.33,1976
86.56,835,791.14,1712
87.04,843,1250.0,2168
87.53,832,459.56,760
88.09,825,151.88,2632
88.58,821,167.34,1976
89.07,821,176.06,1832
89.56,820,167.11,2288
90.06,824,167.34,1416
90.56,823,309.41,1368
91.07,820,155.28,1064
91.37,820,155.28,1224
91.73,819,155.28,1528
92.04,820,159.24,304
92.33,820,155.28,608
92.83,821,167.11,912
93.14,821,163.19,152
93.71,822,155.28,2136
94.02,821,145.01,2440
94.34,820,2906.98,1672
94.64,820,163.19,1824
