Timestamp_Seconds,Brightness,Frequency_Hz,Settle_Micros
0.00,832,2906.98,304
1.26,835,162.97,760
1.74,836,151.7,1672
2.58,845,706.21,504
3.10,846,191.42,1064
3.68,841,210.44,3352
4.33,841,429.55,1824
4.76,840,308.64,2136
5.17,839,155.28,1832
5.71,840,180.9,760
6.36,841,148.46,1368
6.84,851,791.14,2128
7.42,865,148.46,336
8.02,850,224.01,496
8.36,855,141.88,1976
8.95,835,180.9,2288
9.29,833,155.47,1672
9.95,830,145.01,1376
10.64,829,148.46,1064
11.11,829,159.24,1368
11.89,832,159.03,1672
12.56,828,159.03,1376
13.13,827,159.03,1984
13.47,834,796.18,2480
13.94,838,155.28,152
14.75,831,359.2,2440
15.31,834,125.63,456
16.32,831,162.97,1984
17.09,831,148.28,152
17.95,832,159.24,1672
18.56,838,151.88,2288
19.24,851,801.28,800
19.86,859,151.7,1984
20.49,861,461.25,1712
21.08,853,209.73,456
21.61,842,431.03,2320
22.18,841,163.19,1984
22.88,842,162.97,760
23.45,841,5208.33,1368
24.06,842,181.16,2896
24.69,849,167.11,1680
25.35,843,159.03,1376
25.99,843,159.03,152
26.77,853,186.29,1872
27.52,851,141.88,2896
28.26,848,180.9,912
28.86,848,151.7,1984
29.42,845,162.97,456
29.95,844,155.47,1976
30.49,846,155.28,764
31.09,849,151.7,1376
31.66,862,899.28,152
32.24,872,155.28,608
32.81,863,203.25,152
33.35,858,162.97,1680
33.93,847,151.7,1832
34.44,847,159.03,152
34.97,847,171.47,608
36.05,847,148.28,1064
36.59,848,125.75,1520
37.18,849,159.03,912
37.79,843,155.28,1680
38.44,840,155.28,912
39.07,845,191.72,3240
39.68,841,171.47,2440
40.21,837,2016.13,2592
40.74,827,176.3,304
41.40,821,151.7,2440
42.04,821,138.89,2136
42.68,825,145.01,152
43.30,829,148.28,2592
43.85,839,710.23,1976
44.37,827,155.47,456
45.00,839,429.55,800
45.57,830,232.34,1672
46.18,823,145.01,456
46.76,822,136.02,308
47.33,821,162.97,1672
47.92,821,133.12,304
48.46,826,162.97,1072
49.01,821,159.03,1984
49.66,819,151.88,1368
50.25,820,359.2,1680
50.83,829,294.81,1832
51.39,825,145.18,608
51.95,823,145.01,2592
52.51,825,167.11,1376
53.01,821,163.19,1376
53.53,821,159.03,1520
54.20,826,139.04,152
54.85,825,714.29,648
55.52,838,5208.33,152
56.31,821,403.23,304
57.52,839,581.4,2592
58.51,824,584.11,152
59.28,821,155.28,152
60.07,822,148.28,608
60.77,821,151.88,1672
61.78,822,159.24,2128
62.49,825,432.53,1224
63.36,820,162.97,304
64.19,818,159.03,608
65.02,829,403.23,760
65.81,828,151.88,304
66.77,825,431.03,3656
67.56,823,796.18,1216
68.40,822,148.28,1376
69.20,820,155.28,1832
70.06,821,180.9,608
70.75,825,155.28,1824
71.51,833,706.21,1976
72.31,845,1250.0,304
73.14,837,232.77,952
73.87,841,141.88,2288
74.54,823,2906.98,2280
75.00,820,151.7,152
75.53,821,145.18,152
76.02,820,148.28,1216
