Timestamp_Seconds,Brightness,Frequency_Hz,Settle_Micros
0.00,52,2976.19,160
1.15,53,1543.21,152
1.61,51,405.84,152
2.05,52,2976.19,160
2.48,53,2906.98,152
2.91,52,432.53,152
3.38,52,1562.5,152
3.84,52,1562.5,152
4.28,52,1562.5,152
4.69,53,796.18,152
5.11,52,496.03,152
5.56,52,2016.13,152
6.00,51,2016.13,152
6.45,52,1562.5,152
6.88,52,1262.63,152
7.33,52,586.85,152
7.60,52,1543.21,152
7.89,51,2016.13,152
8.17,52,496.03,152
8.46,52,2016.13,152
8.73,52,496.03,152
9.01,52,2016.13,152
9.26,52,1543.21,152
9.69,52,905.8,156
11.30,54,912.41,152
11.71,53,1562.5,152
12.11,53,250.0,152
12.52,52,2976.19,152
12.94,52,536.48,152
13.35,52,2049.18,160
13.78,52,2016.13,152
14.20,53,1262.63,152
14.62,51,2906.98,152
15.04,52,912.41,152
15.47,52,1562.5,152
15.89,51,1050.42,152
16.31,51,584.11,152
16.74,51,1562.5,152
17.19,51,2906.98,152
17.63,52,1059.32,152
18.05,52,796.18,152
18.48,53,584.11,152
18.90,52,2976.19,152
19.31,53,1543.21,152
19.74,52,912.41,160
20.17,53,1059.32,152
20.61,53,496.03,152
21.01,52,912.41,152
21.41,51,912.41,152
21.82,52,309.41,184
22.23,52,2049.18,160
22.63,53,1543.21,152
23.03,53,2049.18,184
23.41,53,1050.42,152
23.80,52,2976.19,152
24.21,52,584.11,152
24.62,52,2016.13,152
25.02,52,2049.18,304
25.44,52,1237.62,152
25.83,52,1262.63,152
26.24,51,2016.13,152
26.65,52,1562.5,152
27.06,53,1237.62,152
27.47,51,432.53,152
27.87,52,586.85,152
28.29,53,2016.13,152
28.73,52,791.14,152
29.05,52,2016.13,152
29.47,52,801.28,152
29.90,52,2016.13,152
30.33,52,2906.98,184
31.09,53,912.41,152
31.52,52,2016.13,152
31.98,51,714.29,152
32.43,52,710.23,152
32.91,53,1250.0,152
33.36,52,584.11,152
33.80,53,1262.63,152
34.23,52,710.23,152
34.65,52,2976.19,152
35.07,53,1250.0,152
35.36,52,2016.13,192
35.62,52,714.29,152
36.07,52,1562.5,160
36.52,52,714.29,152
36.97,53,1250.0,152
37.37,52,2941.18,152
37.81,52,1984.13,152
38.23,54,1262.63,152
38.69,53,905.8,192
38.96,52,1250.0,184
39.41,51,2049.18,160
39.89,52,912.41,152
40.36,54,1562.5,192
40.85,52,2016.13,152
41.33,51,403.23,152
41.78,52,2906.98,192
