Timestamp_Seconds,Brightness,Frequency_Hz,Settle_Micros
0.00,561,1543.21,1072
1.28,559,379.94,1376
1.73,560,171.7,152
2.15,560,294.81,152
2.59,564,381.1,760
3.01,559,379.94,152
3.43,559,2016.13,152
3.83,556,294.81,456
4.26,562,162.97,456
4.68,561,159.03,456
5.14,561,163.19,456
5.59,559,159.24,912
5.84,561,155.28,1072
6.13,561,2906.98,1824
6.57,560,379.94,1672
7.01,560,191.42,1368
9.28,561,159.03,1376
9.73,563,341.53,1216
10.11,557,1543.21,1104
10.50,562,159.24,344
10.89,559,323.83,2632
11.28,567,167.11,648
11.67,562,180.9,152
12.09,562,534.19,1216
12.49,558,308.64,2440
12.91,558,1050.42,456
13.30,560,282.17,304
13.73,562,461.25,1072
14.22,558,796.18,456
14.90,565,159.24,1368
15.56,560,359.2,1824
16.20,565,706.21,152
16.81,556,324.68,1520
17.50,561,151.88,1224
18.13,564,340.6,1224
18.79,557,2906.98,1216
19.31,559,159.03,1224
19.82,563,2906.98,152
20.32,559,2906.98,1520
20.82,565,2906.98,2280
21.28,564,360.23,456
21.71,560,176.06,152
22.14,557,2906.98,152
22.58,559,323.83,312
23.04,559,308.64,304
23.48,557,2016.13,1832
23.97,564,2906.98,192
24.48,562,155.28,760
25.09,563,1041.67,1672
25.62,561,429.55,1528
26.11,560,2016.13,344
26.65,560,162.97,1064
27.17,562,155.47,152
27.68,561,2016.13,304
28.20,565,379.94,1832
28.76,562,155.47,304
29.30,564,159.24,608
29.84,566,270.56,152
30.41,559,186.01,2288
30.98,559,167.11,304
31.51,565,2906.98,1976
32.03,559,180.9,152
32.58,561,2840.91,1824
33.07,558,459.56,1064
33.54,560,379.94,2440
34.03,558,163.19,304
34.50,562,341.53,152
35.02,565,294.81,1976
35.54,558,536.48,152
36.04,567,155.28,312
36.53,564,496.03,456
37.04,563,294.81,1368
37.54,566,324.68,152
38.04,563,379.94,1528
38.55,563,379.94,1520
39.04,560,180.9,912
39.53,558,162.97,1976
40.03,563,186.01,1672
40.54,559,270.56,496
41.15,562,163.19,1064
41.67,559,271.15,608
42.15,557,2016.13,648
42.60,562,2906.98,456
43.07,557,359.2,1528
43.65,562,359.2,912
44.19,561,2016.13,648
44.73,562,496.03,1224
45.29,567,151.7,760
45.87,559,151.88,912
46.40,558,159.03,760
47.00,561,379.94,760
47.48,560,429.55,1216
47.95,562,155.47,304
48.43,560,379.94,1064
48.94,565,379.94,152
49.41,562,176.06,2440
49.93,561,250.0,152
50.44,562,1041.67,152
50.99,557,294.81,1680
51.50,559,536.48,2288
51.99,561,2840.91,1528
52.52,559,381.1,2128
52.99,563,294.12,1976
53.46,559,359.2,152
53.92,558,159.03,152
54.40,563,151.88,152
54.87,564,341.53,1976
55.33,561,158.83,152
55.77,559,534.19,1216
56.30,560,2906.98,1520
56.75,559,171.7,1824
57.23,562,404.53,192
57.70,562,181.16,1528
58.18,562,295.51,2320
58.66,564,2906.98,192
59.24,558,294.81,608
59.53,560,1543.21,496
60.02,557,899.28,304
60.50,559,341.53,1976
